# NOAA Paleoclimatology Program - Paleocean Site Data
# tr16319l-tab.txt
# Complete Data
# File Created: 18-Jan-2005
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             David W. Lea
# Core/Site:      TR163-19
# Latitude:       2.15.18N	( 2.255)
# Longitude:      90.57.04W	( -90.95111)
# Water Depth(m): 2348
#
# Publications:
#   Lea, D.W., P.A. Martin, D.K. Pak, and H.J. Spero. 2002. Reconstructing a 350
#     ky history of sea level using planktonic Mg/Ca and oxygen isotopic records from
#     a Cocos Ridge core. Quaternary Science Reviews 21(1-3):283-293.
#------------------
#
# Description & Notes:
#   350 KYr Sea Level Reconstruction and Foraminifer Isotope Data.
#   Data precision: O18, ±0.06 per mil,  O18w(est.), ±0.18 per mil; SL(est.), +21,
#   -27 m.  Sea Level Age is based on adjustment of original SPECMAP time scale (Imbrie
#   et al. 1984) by the observed offsets between d18Ocalcite and d18Owater at the
#   terminations, which are: 2.5 ky at Term. I, 5 ky at Term. II, 3 ky at Term. III,
#   and 3.5 ky at Term.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d18Ouvige     delta O18 PDB (Uvigerina sp.)
#             d18Owater     delta O18 PDB (water)
#             sealev        sea level in meters below sea level
#
# CORE: TR163-19
depth	yrBP 	d18Ouvige	d18Owater	sealev	
1	1000	3.19	-999	-999	
-999	1800	-999	-0.06	6	
4	1900	2.99	-999	-999	
9	3200	3.03	-0.02	2	
14	4600	3.16	0.01	-1	
-999	6000	-999	-0.01	1	
24	7200	3.29	-999	-999	
-999	7400	-999	0.13	-13	
-999	8800	-999	0.31	-31	
34	9500	3.79	-999	-999	
-999	10200	-999	0.35	-35	
-999	11600	-999	0.5	-50	
44	11900	4	-999	-999	
-999	13000	-999	0.83	-83	
54	14300	4.35	-999	-999	
-999	14500	-999	0.91	-91	
59	15500	4.5	-999	-999	
-999	15900	-999	0.89	-89	
64	16600	4.66	-999	-999	
-999	17300	-999	1.11	-111	
-999	18700	-999	1.18	-118	
74	19000	4.75	-999	-999	
79	20100	4.77	1.09	-109	
84	21300	4.62	-999	-999	
-999	21500	-999	1.1	-110	
89	22400	4.56	-999	-999	
-999	22700	-999	1.01	-101	
94	23500	4.62	-999	-999	
-999	23800	-999	0.87	-87	
99	24600	4.51	-999	-999	
-999	25000	-999	0.83	-83	
104	25800	4.6	-999	-999	
-999	26100	-999	0.81	-81	
109	26900	4.57	-999	-999	
-999	27300	-999	0.73	-73	
114	28000	4.45	-999	-999	
-999	28400	-999	0.66	-66	
119	29100	4.4	-999	-999	
-999	29600	-999	0.63	-63	
124	30200	4.39	-999	-999	
-999	30700	-999	0.52	-52	
129	31300	4.43	-999	-999	
-999	31800	-999	0.5	-50	
